Close,Date
19.05,6/13/18
18.75,5/31/18
18.57,4/30/18
18.43,3/31/18
18.59,2/28/18
19.39,1/31/18
18.65,12/31/17
18.38,11/30/17
18.03,10/31/17
17.74,9/30/17
17.48,8/31/17
17.41,7/31/17
17.02,6/30/17
16.93,5/31/17
