Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,14.630000,14.630000,14.630000,14.630000,14.397837,0
2016-01-05,14.630000,14.630000,14.630000,14.630000,14.397837,0
2016-01-06,14.360000,14.360000,14.360000,14.360000,14.132121,0
2016-01-07,13.880000,13.880000,13.880000,13.880000,13.659739,0
2016-01-08,13.780000,13.780000,13.780000,13.780000,13.561325,0
2016-01-11,13.610000,13.610000,13.610000,13.610000,13.394023,0
2016-01-12,13.670000,13.670000,13.670000,13.670000,13.453072,0
2016-01-13,13.500000,13.500000,13.500000,13.500000,13.285769,0
2016-01-14,13.670000,13.670000,13.670000,13.670000,13.453072,0
2016-01-15,13.200000,13.200000,13.200000,13.200000,12.990530,0
2016-01-19,13.330000,13.330000,13.330000,13.330000,13.118466,0
2016-01-20,13.050000,13.050000,13.050000,13.050000,12.842910,0
2016-01-21,12.990000,12.990000,12.990000,12.990000,12.783862,0
2016-01-22,13.400000,13.400000,13.400000,13.400000,13.187355,0
2016-01-25,13.320000,13.320000,13.320000,13.320000,13.108624,0
2016-01-26,13.410000,13.410000,13.410000,13.410000,13.197197,0
2016-01-27,13.390000,13.390000,13.390000,13.390000,13.177515,0
2016-01-28,13.500000,13.500000,13.500000,13.500000,13.285769,0
2016-01-29,13.980000,13.980000,13.980000,13.980000,13.758151,0
2016-02-01,13.980000,13.980000,13.980000,13.980000,13.758151,0
2016-02-02,13.600000,13.600000,13.600000,13.600000,13.384182,0
2016-02-03,13.600000,13.600000,13.600000,13.600000,13.384182,0
2016-02-04,13.770000,13.770000,13.770000,13.770000,13.551484,0
2016-02-05,13.650000,13.650000,13.650000,13.650000,13.433389,0
2016-02-08,13.420000,13.420000,13.420000,13.420000,13.207039,0
2016-02-09,13.260000,13.260000,13.260000,13.260000,13.049578,0
2016-02-10,13.340000,13.340000,13.340000,13.340000,13.128308,0
2016-02-11,13.110000,13.110000,13.110000,13.110000,12.901958,0
2016-02-12,13.250000,13.250000,13.250000,13.250000,13.039736,0
2016-02-16,13.560000,13.560000,13.560000,13.560000,13.344817,0
2016-02-17,13.810000,13.810000,13.810000,13.810000,13.590850,0
2016-02-18,13.820000,13.820000,13.820000,13.820000,13.600691,0
2016-02-19,13.850000,13.850000,13.850000,13.850000,13.630215,0
2016-02-22,14.060000,14.060000,14.060000,14.060000,13.836883,0
2016-02-23,13.900000,13.900000,13.900000,13.900000,13.679421,0
2016-02-24,13.870000,13.870000,13.870000,13.870000,13.649897,0
