,Date,Symbol,Action,Quantity
0,07/04/2018,VFFSX,SELL,0.1
1,07/04/2018,LPSFX,SELL,0.1
0,07/04/2018,VBTIX,BUY,0.025
1,07/04/2018,VITPX,BUY,0.036
2,07/04/2018,VMCPX,BUY,0.032
3,07/04/2018,VSCPX,BUY,0.047
4,07/04/2018,FMGEX,BUY,0.047
5,07/04/2018,FSPNX,BUY,0.012
